,Resource,ComplexityOfRepair
0,System,Medium
1,Solver,Complex
2,System,Complex
3,System,Complex
4,System,Complex
5,System,Complex
6,System,Complex
7,System,Complex
8,System,Complex
9,System,Medium
10,System,Simple
11,System,Simple
12,System,Complex
13,System,Complex
14,System,Simple
15,System,Medium
16,System,Simple
17,Tester,Simple
18,Tester,Simple
19,Tester,Medium
20,Tester,Complex
21,Solver,Complex
22,System,Complex
23,Tester,Medium
24,Solver,Medium
25,Solver,Simple
26,Solver,Complex
27,Tester,Simple
28,Tester,Medium
29,Tester,Complex
30,Tester,Complex
31,System,Complex
32,System,Complex
33,System,Complex
34,System,Simple
35,System,Simple
36,System,Medium
37,System,Simple
38,System,Medium
39,System,Medium
40,System,Complex
41,System,Complex
42,System,Complex
43,System,Complex
44,System,Complex
45,System,Complex
46,System,Simple
47,System,Medium
48,System,Simple
49,System,Medium
50,Tester,Complex
51,Solver,Complex
52,Solver,Complex
53,Tester,Complex
54,Tester,Complex
55,Tester,Complex
56,Solver,Complex
57,Tester,Complex
58,Tester,Complex
59,Solver,Complex
60,Tester,Simple
61,Tester,Complex
62,Tester,Simple
63,Tester,Medium
64,Tester,Simple
65,Tester,Complex
66,Tester,Complex
67,Tester,Medium
68,Tester,Medium
69,Tester,Medium
70,Tester,Complex
71,Tester,Complex
72,Tester,Simple
73,Tester,Medium
74,Tester,Simple
75,Tester,Complex
76,Tester,Complex
77,Tester,Complex
78,Tester,Complex
79,Solver,Complex
80,Tester,Medium
81,Tester,Complex
82,Tester,Simple
83,Solver,Complex
84,Tester,Medium
85,Tester,Simple
86,Solver,Simple
87,Solver,Medium
88,System,Simple
89,System,Medium
90,System,Simple
91,Tester,Medium
92,Tester,Simple
93,Solver,Simple
94,Solver,Medium
