,Trace,Resource_x,Resource_y,ComplexityOfRepair
0,Case No. 1,Solver,System,Medium
1,Case No. 2,Solver,Solver,Complex
2,Case No. 101,Solver,System,Complex
38,Case No. 201,Solver,System,Complex
39,Case No. 202,Solver,System,Medium
40,Case No. 203,Solver,System,Simple
41,Case No. 204,Solver,System,Simple
42,Case No. 205,Solver,System,Complex
43,Case No. 206,Solver,System,Complex
44,Case No. 207,Solver,System,Simple
45,Case No. 237,Solver,System,Medium
46,Case No. 238,Solver,System,Simple
47,Case No. 359,Solver,Tester,Simple
48,Case No. 369,Tester,Tester,Simple
49,Case No. 370,Tester,Tester,Medium
50,Case No. 371,Tester,Tester,Complex
51,Case No. 372,Tester,Solver,Complex
52,Case No. 373,Tester,System,Complex
53,Case No. 374,Solver,Tester,Medium
54,Case No. 375,Solver,Solver,Medium
55,Case No. 376,Solver,Solver,Simple
56,Case No. 377,Solver,Solver,Complex
57,Case No. 383,System,Tester,Simple
58,Case No. 385,System,Tester,Medium
59,Case No. 438,Solver,Tester,Complex
60,Case No. 439,Solver,Tester,Complex
61,Case No. 444,Solver,System,Complex
62,Case No. 445,Tester,System,Complex
63,Case No. 447,System,System,Complex
64,Case No. 449,System,System,Simple
65,Case No. 456,Solver,System,Simple
66,Case No. 457,Tester,System,Medium
67,Case No. 458,Tester,System,Simple
68,Case No. 459,Solver,System,Medium
69,Case No. 460,System,System,Medium
70,Case No. 461,System,System,Complex
71,Case No. 466,Solver,System,Complex
72,Case No. 467,Tester,System,Complex
73,Case No. 468,Tester,System,Complex
74,Case No. 469,Solver,System,Complex
75,Case No. 470,System,System,Complex
76,Case No. 474,Solver,System,Simple
77,Case No. 475,Solver,System,Medium
78,Case No. 476,Solver,System,Simple
79,Case No. 477,Solver,System,Medium
80,Case No. 682,Tester,Tester,Complex
81,Case No. 683,Tester,Solver,Complex
82,Case No. 684,Tester,Solver,Complex
83,Case No. 685,Tester,Tester,Complex
84,Case No. 686,Tester,Tester,Complex
85,Case No. 687,Tester,Tester,Complex
86,Case No. 688,Tester,Solver,Complex
87,Case No. 689,Tester,Tester,Complex
88,Case No. 695,Solver,Tester,Complex
89,Case No. 698,Solver,Solver,Complex
90,Case No. 782,Tester,Tester,Simple
91,Case No. 783,Tester,Tester,Complex
92,Case No. 784,Tester,Tester,Simple
93,Case No. 785,Tester,Tester,Medium
94,Case No. 786,Tester,Tester,Simple
95,Case No. 787,Tester,Tester,Complex
96,Case No. 788,Tester,Tester,Complex
97,Case No. 789,Tester,Tester,Medium
98,Case No. 790,Tester,Tester,Medium
99,Case No. 791,Tester,Tester,Medium
100,Case No. 792,Tester,Tester,Complex
101,Case No. 793,Tester,Tester,Complex
102,Case No. 794,Tester,Tester,Simple
103,Case No. 795,Tester,Tester,Medium
104,Case No. 796,Tester,Tester,Simple
105,Case No. 797,Tester,Tester,Complex
106,Case No. 798,Tester,Tester,Complex
107,Case No. 799,Tester,Tester,Complex
108,Case No. 800,Tester,Tester,Complex
109,Case No. 831,Tester,Solver,Complex
110,Case No. 832,Tester,Tester,Medium
111,Case No. 833,Tester,Tester,Complex
112,Case No. 834,Tester,Tester,Simple
113,Case No. 835,System,Solver,Complex
114,Case No. 934,Solver,Tester,Medium
115,Case No. 935,Solver,Tester,Simple
116,Case No. 936,Solver,Solver,Simple
117,Case No. 937,Solver,Solver,Medium
118,Case No. 956,Solver,System,Simple
119,Case No. 957,Solver,System,Medium
120,Case No. 958,Tester,System,Simple
121,Case No. 986,Tester,Tester,Medium
122,Case No. 987,Tester,Tester,Simple
123,Case No. 988,Tester,Solver,Simple
124,Case No. 989,Tester,Solver,Medium
